model,episode,episode_length,episode_return,mean_speed,speed_error,distance,contact_regularity,action_jerk,transport_cost,anti_phase,diagonal_sync,uprightness,stationary_fraction
03,0,1000,1863.062600716965,0.9296789076453204,0.14674606203309234,46.48394538226602,0.24220174851087178,0.030491074570596063,1.0775028684471828,0.204,0.708,0.9858593884734781,0.005
03,1,1000,1903.5914876977474,0.9332561379661609,0.13863840762329255,46.66280689830805,0.2189784878421568,0.027726514432209477,1.0129381504147774,0.215,0.715,0.9853760526436097,0.002
03,2,1000,1905.3409518713427,0.9418998654070873,0.14108913139036258,47.094993270354365,0.20407791654562402,0.028060030882293245,0.9996535633369377,0.2095,0.7025,0.9856146180741208,0.005
03,3,1000,1927.0907152433954,0.948458693587957,0.13824853571500986,47.422934679397855,0.22157587766664844,0.027406427293551125,0.9768617350647816,0.217,0.718,0.9861540468276612,0.003
03,4,1000,1919.5785964688127,0.9541210523553052,0.12676115985300948,47.706052617765266,0.22655592262593882,0.027784830253617575,0.9717545718691929,0.2095,0.6975,0.9865395174666881,0.005
03,5,1000,1892.438909554512,0.9180133912904722,0.14157483022545853,45.90066956452361,0.24136919359233033,0.027822454401815154,1.0213173555539217,0.2145,0.7055,0.985045678261689,0.004
03,6,1000,1872.1364796604419,0.9249712931135373,0.1504057648371301,46.248564655676866,0.20478181916396582,0.031167510480942524,1.0770601919570737,0.209,0.705,0.985400385200784,0.003
03,7,1000,1863.3424418077382,0.927711077657674,0.14230166723429322,46.3855538828837,0.21731569335072795,0.027811678871664542,1.0312207084478948,0.195,0.711,0.9856797489435793,0.004
03,8,1000,1914.6861181581603,0.9467782085259757,0.13256491949449542,47.33891042629879,0.2178042081596453,0.027913140027496217,0.9900997366348321,0.214,0.713,0.9858835365057681,0.004
03,9,1000,1870.8670945976576,0.937401590647308,0.14195671916398397,46.8700795323654,0.2364113566177904,0.028197639171109172,1.0212856598909015,0.1955,0.6975,0.9854846398884963,0.001
12@25k,0,1000,2030.3849822899597,0.9897541440239449,0.11224728035788022,49.48770720119725,0.2524963985383695,0.03619558589874482,0.945895983069368,0.257,0.663,0.9901041301224006,0.003
12@25k,1,1000,2014.5724322838785,0.9806828269767813,0.11354130405663142,49.03414134883907,0.24165880488015834,0.03667267467672026,0.9512773472640856,0.2505,0.6665,0.9902990987048813,0.002
12@25k,2,1000,2002.6792353514827,0.9799370568344762,0.11238605003637005,48.99685284172381,0.2342650403236897,0.03676611537604422,0.9594517225861598,0.2415,0.6865,0.9901370883032914,0.002
12@25k,3,1000,1988.1005078138433,0.9650268001040309,0.12005161063172769,48.25134000520154,0.22637023364752773,0.03777077269756384,0.9815912223456512,0.241,0.677,0.9900759830760687,0.003
12@25k,4,1000,2001.688454000336,0.9833545960265553,0.11305148303608406,49.167729801327766,0.24592357586634403,0.036405073305325726,0.9595870685587086,0.2435,0.6825,0.9899843351588012,0.009
12@25k,5,1000,2014.0175582637075,0.9842486278304295,0.1168884185258815,49.21243139152148,0.21038192523350935,0.03675902223127546,0.9498683335650937,0.248,0.693,0.9899374489420099,0.002
12@25k,6,1000,1982.298097790678,0.9767075600598507,0.11862933947943602,48.83537800299254,0.22079725391955318,0.037777508282161726,0.9729997274613676,0.2355,0.6755,0.9900325833597536,0.004
12@25k,7,1000,1986.124868287712,0.9855644879049836,0.11750380807639774,49.27822439524918,0.22557779702709685,0.03779955471876962,0.9792598015143996,0.235,0.685,0.9900212163456017,0.004
12@25k,8,1000,2001.079221729113,0.9845100128178235,0.11470974871722663,49.22550064089118,0.21149871403819953,0.039122417805737664,0.9771007227743993,0.2455,0.6675,0.9900739649591215,0.001
12@25k,9,1000,1974.0576335580054,0.9743819535897357,0.11543617972734495,48.71909767948679,0.2534298679077071,0.03744046890353763,0.9858218370595916,0.234,0.683,0.9900546061952752,0.002
